iter	Logloss
0	0.5787083802
1	0.5118691567
2	0.4735762689
3	0.4473795409
4	0.4304443484
5	0.4188083366
6	0.4093857233
7	0.4040475662
8	0.3981406409
9	0.3947543259
10	0.3898375813
11	0.3868437692
12	0.3844577994
13	0.3812942745
14	0.3787535926
15	0.3760208047
16	0.3742870486
17	0.3705987652
18	0.3691983159
19	0.3678315429
20	0.3658980947
21	0.3636287646
22	0.3613643263
23	0.3603415558
24	0.3594084969
25	0.3585897406
26	0.3571839001
27	0.3564022249
28	0.3558077058
29	0.3552867072
30	0.354097697
31	0.3530620579
32	0.3519337127
33	0.3514542417
34	0.3507663595
35	0.3499540002
36	0.3491729767
37	0.3487168241
38	0.3479641551
39	0.3473932444
40	0.3470743585
41	0.3467661518
42	0.3464167727
43	0.3455058502
44	0.3449810332
45	0.3442037048
46	0.3438686748
47	0.3434431677
48	0.3431875994
49	0.3428198308
50	0.3425464102
51	0.3421917102
52	0.3417541358
53	0.3415722505
54	0.3411828863
55	0.3406315572
56	0.3402440438
57	0.3400052388
58	0.3397485064
59	0.3395122868
60	0.3391308281
61	0.3388405396
62	0.3386888722
63	0.3383976567
64	0.3382340154
65	0.3379477355
66	0.3378027184
67	0.3375970592
68	0.3374203327
69	0.3369982933
70	0.3367296354
71	0.336353091
72	0.3361260946
73	0.3356487284
74	0.3354250762
75	0.3352674251
76	0.3351082161
77	0.3345738708
78	0.3342826305
79	0.3339336078
80	0.3337146931
81	0.3333329569
82	0.3331093725
83	0.3329646523
84	0.3327357815
85	0.3325599939
86	0.3322680052
87	0.3321073617
88	0.3319608297
89	0.3318384971
90	0.3317412413
91	0.3314625785
92	0.3311943516
93	0.3311050664
94	0.3307914316
95	0.3305823038
96	0.3303990505
97	0.3302870607
98	0.3301276712
99	0.3300248726
100	0.3299009566
101	0.3296758279
102	0.3295605991
103	0.3293508491
104	0.3292383372
105	0.3289595661
106	0.3287853357
107	0.3284689203
108	0.3283871263
109	0.3282308772
110	0.3281158962
111	0.3279687712
112	0.3278754627
113	0.327683458
114	0.3275061648
115	0.3274095919
116	0.3271582691
117	0.3270802606
118	0.3268726134
119	0.3266765214
120	0.3265212445
121	0.3263771845
122	0.3263006232
123	0.3261894848
124	0.3261204929
125	0.3258657919
126	0.3256464056
127	0.3255063211
128	0.3254237408
129	0.3252300034
130	0.3250831263
131	0.3249802422
132	0.3248775868
133	0.3246365577
134	0.324322805
135	0.3241687781
136	0.3240397969
137	0.3239320479
138	0.3237924713
139	0.3237202649
140	0.3236310973
141	0.3235378985
142	0.3234470221
143	0.3233678183
144	0.3233065066
145	0.3230828834
146	0.3229805748
147	0.322838573
148	0.3227791687
149	0.3226531145
150	0.3225002705
151	0.3224388683
152	0.3223530037
153	0.3222865259
154	0.3222229457
155	0.3221283364
156	0.3220012323
157	0.3218321746
158	0.3217171249
159	0.3216490009
160	0.3215073683
161	0.3213272733
162	0.3212480751
163	0.321096454
164	0.3210022458
165	0.3209554069
166	0.320731721
167	0.3206511943
168	0.3204762373
169	0.3203883063
170	0.320228231
171	0.3200749494
172	0.319950036
173	0.3198709067
174	0.3197646982
175	0.3197147932
176	0.3196711753
177	0.3195851813
178	0.3195229191
179	0.3193466109
180	0.319276416
181	0.3192021017
182	0.319159281
183	0.3189855665
184	0.3188965625
185	0.3187268977
186	0.3186277908
187	0.3184850863
188	0.3183989324
189	0.3183088993
190	0.3182671738
191	0.3182056039
192	0.3180856529
193	0.3179809807
194	0.3178660925
