iter	Passed	Remaining
0	717	139202
1	1180	113960
2	1644	105274
3	2067	98737
4	2572	97762
5	3089	97317
6	3672	98630
7	4329	101200
8	5006	103477
9	5494	101648
10	6064	101445
11	6589	100493
12	7164	100302
13	7747	100159
14	8387	100649
15	8961	100258
16	9467	99134
17	9959	97936
18	10463	96926
19	10974	96028
20	11506	95338
21	12000	94370
22	12539	93776
23	12973	92437
24	13448	91452
25	14018	91122
26	14571	90669
27	15222	90793
28	15789	90383
29	16264	89455
30	16774	88740
31	17370	88480
32	17894	87845
33	18358	86932
34	19027	86984
35	19492	86091
36	19963	85250
37	20532	84830
38	21004	84019
39	21435	83060
40	21844	82049
41	22305	81254
42	22846	80760
43	23404	80318
44	23986	79956
45	24697	79996
46	25203	79363
47	25761	78895
48	26295	78350
49	26908	78035
50	27484	77603
51	28051	77140
52	28620	76681
53	29099	75980
54	29601	75349
55	30183	74919
56	30735	74412
57	31342	74032
58	31926	73594
59	32510	73149
60	33144	72809
61	33659	72206
62	34182	71619
63	34711	71050
64	35217	70434
65	35814	70001
66	36325	69397
67	36928	68970
68	37394	68286
69	37871	67627
70	38538	67306
71	39056	66721
72	39649	66264
73	40311	65915
74	40936	65497
75	41502	64984
76	42072	64475
77	42576	63865
78	43122	63319
79	43786	62943
80	44375	62453
81	44888	61857
82	45714	61686
83	46439	61365
84	47092	60942
85	47727	60491
86	48388	60068
87	48979	59554
88	49492	58946
89	50133	58489
90	50729	57976
91	51453	57605
92	52211	57263
93	52761	56690
94	53343	56151
95	53949	55635
96	54535	55098
97	55027	54466
98	55744	54055
99	56358	53541
100	57069	53114
101	57634	52549
102	58411	52173
103	59185	51787
104	59828	51281
105	60449	50754
106	60990	50160
107	61538	49572
108	62186	49064
109	62828	48549
110	63336	47930
111	63951	47392
112	64411	46741
113	64875	46095
114	65442	45525
115	66037	44974
116	66665	44443
117	67265	43893
118	67945	43393
119	68506	42816
120	69200	42321
121	69835	41786
122	70435	41230
123	71049	40681
124	71620	40107
125	72194	39535
126	72764	38960
127	73374	38406
128	73989	37855
129	74592	37296
130	75209	36743
131	75814	36184
132	76538	35679
133	77429	35247
134	78349	34821
135	79145	34335
136	79906	33828
137	80467	33236
138	81111	32678
139	81723	32105
140	82722	31681
141	83613	31207
142	84104	30583
143	84580	29955
144	85036	29322
145	85556	28714
146	86120	28120
147	86765	27554
148	87334	26962
149	87920	26376
150	88538	25799
151	89175	25227
152	89754	24638
153	90429	24075
154	90952	23471
155	91503	22875
156	92157	22305
157	92707	21710
158	93328	21130
159	93871	20534
160	94466	19949
161	95236	19399
162	95916	18830
163	96560	18252
164	97187	17670
165	97805	17086
166	98358	16491
167	98948	15902
168	99539	15313
169	100163	14729
170	100746	14139
171	101259	13540
172	101859	12953
173	102446	12364
174	103007	11772
175	103550	11178
176	104097	10586
177	104709	10000
178	105283	9410
179	106044	8837
180	106708	8253
181	107372	7669
182	108004	7082
183	108593	6491
184	109323	5909
185	109828	5314
186	110381	4722
187	110893	4129
188	111492	3539
189	112118	2950
190	112712	2360
191	113260	1769
192	113950	1180
193	114462	590
194	114994	0
