iter	Logloss
0	0.6761197722
1	0.6621598554
2	0.6500149951
3	0.6382988043
4	0.6290119592
5	0.6208051943
6	0.6131741451
7	0.6063497778
8	0.6001327663
9	0.5941576953
10	0.5894593984
11	0.5846115294
12	0.580745941
13	0.5766241523
14	0.5731479343
15	0.5695973458
16	0.5662229834
17	0.5640761685
18	0.5615512423
19	0.559065773
20	0.5569123713
21	0.5550301608
22	0.553556528
23	0.5512326959
24	0.5495356284
25	0.5478795081
26	0.5465010873
27	0.5449412749
28	0.5434716578
29	0.5420817884
30	0.540753688
31	0.5398129898
32	0.5387226075
33	0.5375480851
34	0.536356579
35	0.5352695043
36	0.5343612856
37	0.533483158
38	0.5324756805
39	0.5313687959
40	0.5304230661
41	0.5293503027
42	0.5288350718
43	0.52834975
44	0.5275383996
45	0.5267565835
46	0.5259311074
47	0.5254258707
48	0.52450691
49	0.5240529945
50	0.5234887081
51	0.5226559088
52	0.5218840144
53	0.5212228432
54	0.5206882518
55	0.5201115277
56	0.5195621847
57	0.5189650432
58	0.5182877881
59	0.5175891802
60	0.5170112998
61	0.5166775756
62	0.5161665402
63	0.5155421715
64	0.5149961303
65	0.5143845089
66	0.5140434472
67	0.5135530271
68	0.513045483
69	0.5124379887
70	0.5117380775
71	0.511411012
72	0.5108557734
73	0.5102415899
74	0.5098024667
75	0.5092501817
76	0.5088691773
77	0.5084704632
78	0.5081158655
79	0.5077289761
80	0.5073832972
81	0.5069742766
82	0.5066102117
83	0.5062819774
84	0.5060098441
85	0.5058274107
86	0.5055927555
87	0.505167223
88	0.5047426605
89	0.5044032292
90	0.5041075182
91	0.5037337362
92	0.5034951356
93	0.5031094391
94	0.5027606886
95	0.5023826633
96	0.5022106012
97	0.501960616
98	0.5016062173
99	0.5011975989
100	0.5009177291
101	0.5006315597
102	0.5001456501
103	0.49996823
104	0.4996735812
105	0.4994660658
106	0.4992150919
107	0.4989712595
108	0.4987067926
109	0.4984418706
110	0.4981280276
111	0.4978976563
112	0.4976300284
113	0.4974824346
114	0.4972057252
115	0.4969950322
116	0.4968433287
117	0.4965644017
118	0.4963233415
119	0.4959989862
120	0.4958027388
121	0.4955918895
122	0.4952450512
123	0.4949538942
124	0.4947028686
125	0.4945265589
126	0.4943622932
