iter	Passed	Remaining
0	165	20790
1	325	20367
2	495	20499
3	655	20171
4	805	19647
5	961	19383
6	1120	19211
7	1284	19112
8	1448	18997
9	1618	18936
10	1770	18665
11	1922	18423
12	2086	18299
13	2247	18137
14	2401	17933
15	2565	17799
16	2732	17683
17	2884	17465
18	3046	17317
19	3202	17131
20	3359	16957
21	3517	16790
22	3662	16559
23	3826	16420
24	3980	16242
25	4142	16092
26	4303	15937
27	4462	15778
28	4624	15627
29	4781	15460
30	4938	15292
31	5082	15088
32	5241	14930
33	5403	14780
34	5571	14645
35	5734	14496
36	5882	14309
37	6034	14133
38	6196	13981
39	6364	13842
40	6534	13706
41	6693	13545
42	6828	13340
43	6962	13134
44	7126	12986
45	7288	12834
46	7451	12682
47	7598	12506
48	7756	12347
49	7909	12180
50	8072	12029
51	8212	11844
52	8372	11689
53	8535	11538
54	8687	11372
55	8843	11211
56	8990	11040
57	9140	10874
58	9305	10724
59	9464	10568
60	9624	10413
61	9769	10242
62	9932	10089
63	10092	9934
64	10244	9771
65	10404	9616
66	10559	9456
67	10725	9305
68	10882	9147
69	11055	9002
70	11211	8842
71	11353	8673
72	11518	8520
73	11685	8369
74	11836	8206
75	11999	8052
76	12146	7887
77	12331	7746
78	12486	7586
79	12646	7429
80	12804	7271
81	12959	7111
82	13115	6952
83	13266	6791
84	13417	6630
85	13557	6463
86	13711	6304
87	13870	6147
88	14032	5991
89	14189	5833
90	14341	5673
91	14501	5516
92	14646	5354
93	14810	5199
94	14968	5042
95	15120	4882
96	15264	4720
97	15415	4561
98	15584	4407
99	15749	4252
100	15902	4093
101	16062	3936
102	16235	3782
103	16382	3623
104	16543	3466
105	16692	3306
106	16843	3148
107	17002	2991
108	17152	2832
109	17311	2675
110	17472	2518
111	17626	2360
112	17780	2202
113	17930	2044
114	18097	1888
115	18253	1730
116	18397	1572
117	18558	1415
118	18715	1258
119	18881	1101
120	19034	943
121	19190	786
122	19354	629
123	19519	472
124	19670	314
125	19828	157
126	19971	0
